Name,Location,Paths,ID,Desc.,km,km change,Type,Device,Device direction,Track ID
N1556,258659.00771545604,321446.2934865853,P1978,P2945,Standard Gauge Track,null,0.0,,,,,
N1649,258604.34306740036,321602.46251158416,P1979,P2879,Standard Gauge Track,null,0.0,,,,,
N1651,258455.08282326203,322029.998368984,P1980,P2946,Standard Gauge Track,null,0.0,,,,,
N1655,258439.96346370768,322077.9636700445,P1980,P1981,Standard Gauge Track,null,0.0,,,,,
N1661,258415.17172114016,322172.0612062079,P1981,P1982,Standard Gauge Track,null,0.0,,,,,
N1667,258393.24286173956,322270.1161581733,P1982,P1983,Standard Gauge Track,null,0.0,,,,,
N1698,258176.10118551293,323248.3416730815,P1984,P2948,Standard Gauge Track,null,0.0,,,,,
N1708,258151.59461918988,323358.89094729756,P1985,P2881,Standard Gauge Track,null,0.0,,,,,
N2218,257922.3554561676,324381.61398470605,P1986,P2950,Standard Gauge Track,null,0.0,,,,,
N2223,257901.1229414482,324500.2005708278,P1986,P1987,Standard Gauge Track,null,0.0,,,,,
N2381,257889.83279908585,324602.0165740688,P1987,P1988,Standard Gauge Track,null,0.0,,,,,
N2388,257884.8400009593,324701.67117531673,P1988,P1989,Standard Gauge Track,null,0.0,,,,,
N2396,257888.6802489765,324888.96893315116,P1989,P1990,Standard Gauge Track,null,0.0,,,,,
N2420,257940.841246585,326862.9860940804,P1992,P2883,Standard Gauge Track,null,0.0,,,,,
N2422,257959.76009440873,327592.85165931575,P1993,P2953,Standard Gauge Track,null,0.0,,,,,
N2427,257959.14265534392,327663.10822100326,P1993,P1994,Standard Gauge Track,null,0.0,,,,,
N2430,257955.27620316448,327701.7156915824,P1994,P1995,Standard Gauge Track,null,0.0,,,,,
N2435,257945.38060148148,327758.9389979172,P1995,P1996,Standard Gauge Track,null,0.0,,,,,
N2440,257929.74682441854,327816.02268716507,P1996,P1997,Standard Gauge Track,null,0.0,,,,,
N2445,257906.1944957183,327879.8521508156,P1997,P1998,Standard Gauge Track,null,0.0,,,,,
N2452,257882.5156974118,327929.9768557219,P1998,P2816,Standard Gauge Track,null,0.0,,,,,
N2457,257832.17158314015,328003.59650227695,P2000,P2885,Standard Gauge Track,null,0.0,,,,,
N2463,257788.29928626984,328051.2739829204,P2000,P2001,Standard Gauge Track,null,0.0,,,,,
N2468,257724.206904458,328105.59742797667,P2001,P2002,Standard Gauge Track,null,0.0,,,,,
N2480,257512.5630283496,328251.37605212705,P2002,P2003,Standard Gauge Track,null,0.0,,,,,
N2523,257940.06043853916,326822.02407147264,P1991,P2951,Standard Gauge Track,null,0.0,,,,,
N3324,257133.86925731404,328521.05278067716,P2004,P2005,Standard Gauge Track,null,0.0,,,,,
N3327,257090.19851059045,328570.4785923012,P2005,P2006,Standard Gauge Track,null,0.0,,,,,
N3329,257062.76639546602,328611.4486343701,P2006,P2007,Standard Gauge Track,null,0.0,,,,,
N3331,257035.12223633,328661.27307554294,P2008,P2888,Standard Gauge Track,null,0.0,,,,,
N3572,257209.78337973414,328458.8423655216,P2004,P2954,Standard Gauge Track,null,0.0,,,,,
N3589,257027.65323663663,328677.81828946056,P2008,P2009,Standard Gauge Track,null,0.0,,,,,
N3592,257016.00851651354,328707.22766348184,P2009,P2010,Standard Gauge Track,null,0.0,,,,,
N3600,256993.07840333297,328795.910317807,P2011,P2012,Standard Gauge Track,null,0.0,,,,,
N3603,256988.38172704395,328835.38016065204,P2012,P2013,Standard Gauge Track,null,0.0,,,,,
N3606,256986.88,328868.98,P2013,P2014,Standard Gauge Track,null,0.0,,,,,
N3611,256988.67426838196,328912.89828314574,P2014,P2015,Standard Gauge Track,null,0.0,,,,,
N3613,256991.28465647568,328934.8217535456,P2015,P2016,Standard Gauge Track,null,0.0,,,,,
N3616,256995.15219658474,328959.9819633486,P2016,P2017,Standard Gauge Track,null,0.0,,,,,
N3619,257004.2241971951,329000.1850904013,P2017,P2018,Standard Gauge Track,null,0.0,,,,,
N3623,257015.29237150593,329036.323350825,P2018,P2019,Standard Gauge Track,null,0.0,,,,,
N3625,257031.75552613367,329079.7072624766,P2019,P2020,Standard Gauge Track,null,0.0,,,,,
N3628,257046.85115994595,329113.0921002792,P2020,P2021,Standard Gauge Track,null,0.0,,,,,
N3633,257077.9053994844,329169.60505493765,P2021,P2022,Standard Gauge Track,null,0.0,,,,,
N3636,257110.26612523934,329220.42707833234,P2022,P2023,Standard Gauge Track,null,0.0,,,,,
N3640,257149.24270166148,329278.58203817584,P2023,P2024,Standard Gauge Track,null,0.0,,,,,
N3651,257333.48645948953,329555.91999615525,P2024,P2025,Standard Gauge Track,null,0.0,,,,,
N3655,257362.9050736771,329609.57010941574,P2025,P2026,Standard Gauge Track,null,0.0,,,,,
N3660,257396.96249895092,329686.91370541335,P2026,P2027,Standard Gauge Track,null,0.0,,,,,
